得意先所属コード,得意先ユーザーコード,得意先親子区分,取引年月日,車番,給油所区分,高速区分,給油先会社コード,給油先SSコード,給油所名,商品コード,商品名,数量,単価,商品代,参考消費税,軽油税,伝票番号,行番号
104,23991,0,20250503,1107,2,1,77,707,上里ＳＡ下り店　　　　,13848,軽油（エネフリ高速）,275,91.3,25108,2511,8828,8982,2
104,23991,0,20250501,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,235.01,90.3,21221,2122,7544,2609,9
104,23991,0,20250505,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,146.11,90.3,13194,1319,4690,8,8
104,23991,0,20250507,1127,1,,10,219,所沢インターＳＳ　　　,95040,洗車大型,1,800,800,80,0,1991,1
104,23991,0,20250507,1127,1,,10,219,所沢インターＳＳ　　　,96560,下部洗浄,1,200,200,20,0,1991,1
104,23991,0,20250508,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,238.63,90.3,21548,2155,7660,81,1
104,23991,0,20250512,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,139.27,90.3,12576,1258,4471,4420,0
104,23991,0,20250515,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,225.22,90.3,20337,2034,7230,2687,7
104,23991,0,20250519,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,140.12,90.3,12653,1265,4498,2176,6
104,23991,0,20250522,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,263.91,90.3,23831,2383,8472,3201,1
104,23991,0,20250526,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,144.51,90.3,13049,1305,4639,49,9
104,23991,0,20250529,1127,1,,10,219,所沢インターＳＳ　　　,13310,軽油（大型セルフ）,132.2,90.3,11938,1194,4244,3406,6
104,23991,0,20250503,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,116.01,90.3,10476,1048,3724,7994,4
104,23991,0,20250503,1151,3,,50,220,上武道路深谷ＳＳ　　　,95780,洗車大型シャンプー（,1,727,727,73,0,7995,5
104,23991,0,20250508,1151,3,,50,220,上武道路深谷ＳＳ　　　,95540,洗車作業料（太陽）,1,909,909,91,0,1901,1
104,23991,0,20250508,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,150.79,90.3,13616,1362,4840,1902,2
104,23991,0,20250512,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,155,90.3,13997,1400,4976,2914,4
104,23991,0,20250512,1151,3,,50,220,上武道路深谷ＳＳ　　　,95780,洗車大型シャンプー（,1,727,727,73,0,2915,5
104,23991,0,20250516,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,154,90.3,13906,1391,4943,4360,0
104,23991,0,20250516,1151,3,,50,220,上武道路深谷ＳＳ　　　,95610,洗車スプレー（太陽）,1,1091,1091,109,0,4362,2
104,23991,0,20250520,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,151,90.3,13635,1364,4847,5395,5
104,23991,0,20250520,1151,3,,50,220,上武道路深谷ＳＳ　　　,95780,洗車大型シャンプー（,1,727,727,73,0,5396,6
104,23991,0,20250524,1151,3,,50,220,上武道路深谷ＳＳ　　　,95780,洗車大型シャンプー（,1,727,727,73,0,6863,3
104,23991,0,20250524,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,153,90.3,13816,1382,4911,6865,5
104,23991,0,20250528,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,153,90.3,13816,1382,4911,7968,8
104,23991,0,20250531,1151,3,,50,220,上武道路深谷ＳＳ　　　,95540,洗車作業料（太陽）,1,909,909,91,0,2073,3
104,23991,0,20250531,1151,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,114,90.3,10294,1029,3659,2075,5
104,23991,0,20250505,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,173,90.3,15622,1562,5553,1523,3
104,23991,0,20250507,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,122.02,90.3,11018,1102,3917,2348,8
104,23991,0,20250511,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,208,90.3,18782,1878,6677,4326,6
104,23991,0,20250514,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,200,90.3,18060,1806,6420,914,4
104,23991,0,20250520,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,154,90.3,13906,1391,4943,3959,9
104,23991,0,20250526,1181,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,296,90.3,26729,2673,9502,2110,0
104,23991,0,20250501,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,88.82,90.3,8020,802,2851,3139,9
104,23991,0,20250502,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,96.28,90.3,8694,869,3091,3676,6
104,23991,0,20250503,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,89.82,90.3,8111,811,2883,4326,6
104,23991,0,20250505,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,100.76,90.3,9099,910,3234,487,7
104,23991,0,20250506,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,95.39,90.3,8614,861,3062,1028,8
104,23991,0,20250507,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,91.1,90.3,8226,823,2924,1562,2
104,23991,0,20250508,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,89.49,90.3,8081,808,2873,2884,4
104,23991,0,20250509,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,97.5,90.3,8804,880,3130,2459,9
104,23991,0,20250510,1885,2,1,77,708,太田強戸ＰＡ西行き店　,13848,軽油（エネフリ高速）,151.99,91.3,13877,1388,4879,2211,1
104,23991,0,20250512,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,135.79,90.3,12262,1226,4359,4319,9
104,23991,0,20250513,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,134.98,90.3,12189,1219,4333,4817,7
104,23991,0,20250514,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,92.76,90.3,8376,838,2978,209,9
104,23991,0,20250515,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,87.23,90.3,7877,788,2800,657,7
104,23991,0,20250516,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,89.25,90.3,8059,806,2865,1206,6
104,23991,0,20250517,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,101.17,90.3,9136,914,3248,1930,0
104,23991,0,20250519,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,136.13,90.3,12293,1229,4370,3556,6
104,23991,0,20250520,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,92.28,90.3,8333,833,2962,4021,1
104,23991,0,20250521,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,97.06,90.3,8765,877,3116,4147,7
104,23991,0,20250522,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,88.08,90.3,7954,795,2827,5000,0
104,23991,0,20250523,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,94.88,90.3,8568,857,3046,499,9
104,23991,0,20250524,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,97.51,90.3,8805,881,3130,1200,0
104,23991,0,20250526,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,92.57,90.3,8359,836,2971,2123,3
104,23991,0,20250527,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,90.98,90.3,8215,822,2920,2676,6
104,23991,0,20250528,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,86.85,90.3,7843,784,2788,3161,1
104,23991,0,20250529,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,96.05,90.3,8673,867,3083,3575,5
104,23991,0,20250530,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,88.9,90.3,8028,803,2854,4070,0
104,23991,0,20250531,1885,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,96.3,90.3,8696,870,3091,4739,9
104,23991,0,20250501,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,313,91.3,28577,2858,10047,4430,0
104,23991,0,20250503,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,201,91.3,18351,1835,6452,669,9
104,23991,0,20250504,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,124,91.3,11321,1132,3980,1081,1
104,23991,0,20250508,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,337,91.3,30768,3077,10818,2760,0
104,23991,0,20250514,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,271,91.3,24742,2474,8699,1025,5
104,23991,0,20250516,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,253,91.3,23099,2310,8121,1971,1
104,23991,0,20250518,2027,1,,10,171,本宮インター給油所　　,13000,軽油,267,91.3,24377,2438,8571,2768,8
104,23991,0,20250521,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,255,91.3,23282,2328,8186,4533,3
104,23991,0,20250524,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,319,91.3,29125,2913,10240,1142,2
104,23991,0,20250525,2027,1,,10,215,伊勢崎インターＳＳ　　,13000,軽油,221,91.3,20177,2018,7094,1612,2
104,23991,0,20250528,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,190,91.3,17347,1735,6099,3329,9
104,23991,0,20250531,2027,1,,10,141,ルート４岩沼給油所　　,13000,軽油,338,91.3,30859,3086,10850,4726,6
104,23991,0,20250501,2711,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,321,91.3,29307,2931,10304,4107,7
