得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,0,1055,20250530,2,11668,五　霞,4410,軽　油　　　　　　　,3,300,122.9,36870,11905,1,3213,1055,1132,0,35068501484,353762,五　霞　　,ｺﾞｶｲﾝﾀｰﾃﾝ           ,3100000,0,0,90.8,27240,9630,2724,10,91010414842105502   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1101,20250504,3,11675,太田強,4410,高速軽油　　　　　　,3,295,122.9,36256,11459,1,6712,1101,1610,0,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,3100000,0,0,90.8,26786,9470,2679,10,91010414842110103   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1101,20250508,3,11675,太田強,4410,高速軽油　　　　　　,3,321,122.9,39451,12498,1,3193,1101,1504,0,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,3100000,0,0,90.8,29147,10304,2915,10,91010414842110103   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1101,20250519,3,11614,岡　部,4410,軽　油　　　　　　　,3,323,122.9,39697,16012,1,7269,1101,51,0,35068501484,349028,岡　部　　,ｵｶﾍﾞCS              ,3100000,0,0,90.8,29329,10368,2933,10,91010414842110103   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,1101,20250522,3,11674,太田強,4410,高速軽油　　　　　　,3,307,122.9,37730,14990,1,9169,1101,2019,0,35068501484,360460,太田強戸西,ｵｵﾀｺﾞｳﾄﾞPAﾆｼｲｷG     ,3100000,0,0,90.8,27875,9855,2788,10,91010414842110103   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,2027,20250511,1,15911,安積下,4410,高速軽油　　　　　　,3,377,122.9,46333,4481,1,0,2027,546,0,35068501484,358972,安積ＰＡ下,ｱｻｶPAｸﾀﾞﾘﾃﾝ         ,3100000,0,0,90.8,34231,12102,3423,10,91010414842202701   ,2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250501,2,18511,軽井沢,4410,軽　油　　　　　　　,3,146,122.9,17943,5356,1,0,3017,1730,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,13256,4687,1326,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250501,2,18511,軽井沢,4410,軽　油　　　　　　　,3,80,122.9,9832,5356,1,0,3017,1730,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,7264,2568,726,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250502,2,11659,加　須,4410,軽　油　　　　　　　,3,109,122.9,13396,16928,1,7692,3017,2217,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,9897,3499,990,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250504,2,11659,加　須,4410,軽　油　　　　　　　,3,210,122.9,25809,17891,1,7692,3017,2226,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,19068,6741,1907,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
