得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,000,1055,20250530,02,11668,五　霞,4410,軽　油　　　　　　　,3,     300.00,     122.90,     36870.00,11905,01,03213,1055,1132,000,35068501484,353762,五　霞　　,ｺﾞｶｲﾝﾀｰﾃﾝ           ,003100000,00000,00000,      90.80,        27240,         9630,         2724,10,="91010414842105502   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1101,20250504,03,11675,太田強,4410,高速軽油　　　　　　,3,     295.00,     122.90,     36256.00,11459,01,06712,1101,1610,000,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,003100000,00000,00000,      90.80,        26786,         9470,         2679,10,="91010414842110103   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1101,20250508,03,11675,太田強,4410,高速軽油　　　　　　,3,     321.00,     122.90,     39451.00,12498,01,03193,1101,1504,000,35068501484,360479,太田強戸東,ｵｵﾀｺﾞｳﾄﾞﾋｶﾞｼｲｷG     ,003100000,00000,00000,      90.80,        29147,        10304,         2915,10,="91010414842110103   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1101,20250519,03,11614,岡　部,4410,軽　油　　　　　　　,3,     323.00,     122.90,     39697.00,16012,01,07269,1101,0051,000,35068501484,349028,岡　部　　,ｵｶﾍﾞCS              ,003100000,00000,00000,      90.80,        29329,        10368,         2933,10,="91010414842110103   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,1101,20250522,03,11674,太田強,4410,高速軽油　　　　　　,3,     307.00,     122.90,     37730.00,14990,01,09169,1101,2019,000,35068501484,360460,太田強戸西,ｵｵﾀｺﾞｳﾄﾞPAﾆｼｲｷG     ,003100000,00000,00000,      90.80,        27875,         9855,         2788,10,="91010414842110103   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,2027,20250511,01,15911,安積下,4410,高速軽油　　　　　　,3,     377.00,     122.90,     46333.00,04481,01,00000,2027,0546,000,35068501484,358972,安積ＰＡ下,ｱｻｶPAｸﾀﾞﾘﾃﾝ         ,003100000,00000,00000,      90.80,        34231,        12102,         3423,10,="91010414842202701   ",2,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250501,02,18511,軽井沢,4410,軽　油　　　　　　　,3,     146.00,     122.90,     17943.00,05356,01,00000,3017,1730,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,        13256,         4687,         1326,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250501,02,18511,軽井沢,4410,軽　油　　　　　　　,3,      80.00,     122.90,      9832.00,05356,01,00000,3017,1730,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,         7264,         2568,          726,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250502,02,11659,加　須,4410,軽　油　　　　　　　,3,     109.00,     122.90,     13396.00,16928,01,07692,3017,2217,000,35068501484,349288,加　須　　,ｶｿﾞCS               ,003100000,00000,00000,      90.80,         9897,         3499,          990,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250504,02,11659,加　須,4410,軽　油　　　　　　　,3,     210.00,     122.90,     25809.00,17891,01,07692,3017,2226,000,35068501484,349288,加　須　　,ｶｿﾞCS               ,003100000,00000,00000,      90.80,        19068,         6741,         1907,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
